IR24HnCp7r1	IR24HnCp7r2	IR24HnCp7r3	IR24HnCp7r4	IR24HnCp7r5	IR24HnCp7r6	IR24HnCp7r7	IR24HnCp7r8	IR24HnCp7r9	IR24HnCp7r10	IR24HnCp7r11	IR24HnCp7r12	IR24HnCp7r13	IR24HnCp7r14	IR24HnCp7r15	IR24HnSz7r1	IR24HnSz7r2	IR24HnSz7r3	IR24HnSz7r4	IR24HnSz7r5	IR24HnSz7r6	IR24HnSz7r7	IR24HnSz7r8	IR24HnSz7r9	IR24HnSz7r10	IR24HnSz7r11	IR24HnSz7r12	IR24HnSz7r13	IR24HnSz7r14	IR24HnSz7r15	IR24HnSz7r16	IR24HnSz7r17
Desulfobacteraceae	0.0212	0.00686	0.00639	0.00635	0	0.00486	0.00305	0.00779	0.00509	0.0101	0.0108	0.024	0.00181	0.0204	0.00582	0.0262	0.0283	0.00988	0.1	0.0316	0.0202	0.0321	0.0901	0.0564	0.109	0.0382	0.0931	0.0262	0.079	0.0368	0.0267	0.0888
Solirubrobacteraceae	0.0173	0.00686	0.00213	0.0233	0.00271	0.00486	0.0061	0.00467	0.00339	0.0135	0.00461	0.014	0.0126	0.0146	0.0213	0.00477	0.0165	0.00494	0.02	0.0345	0.00552	0.0247	0.043	0.0127	0.0533	0.00546	0.0466	0.00604	0.0144	0.0215	0.00572	0.00918
Intrasporangiaceae	0.0732	0.0789	0.0915	0.0317	0.0677	0.0826	0.0656	0.0685	0.0356	0.0608	0.0461	0.0579	0.141	0.0291	0.064	0.0953	0.0565	0.0865	0.0601	0.0719	0.164	0.0617	0.141	0.0983	0.162	0.206	0.109	0.129	0.244	0.116	0.04	0.101
Streptomycetaceae	0.0887	0.177	0.0724	1.91	0.555	2.73	0.866	0.067	0.192	0.59	0.649	0.0819	0.132	0.588	0.0969	0.651	0.912	0.519	1.37	0.926	0.585	1.03	0.227	0.184	0.127	0.102	0.159	0.757	0.0934	0.797	0.263	0.0704
Clostridiales_Incertae_Sedis_XII	0.0424	0.336	0.302	0.171	0.228	0.162	0.09	0.273	0.656	0.24	0.337	0.328	0.141	0.573	0.351	0.548	0.558	0.502	0.17	0.351	0.337	0.19	0.287	0.228	0.501	0.761	0.444	0.604	0.345	0.518	0.109	0.511
Phyllobacteriaceae	0.0212	0.0223	0.017	0.0423	0.0163	0.0178	0.0168	0.00935	0.0424	0.0186	0.0277	0.0439	0.0235	0.0553	0.0504	0.00953	0.0259	0.042	0.04	0.0144	0.0276	0.0444	0.0778	0.0309	0.0394	0.0546	0.0543	0.0403	0.0611	0.0429	0.021	0.0184
Desulfuromonadaceae	0.00193	0.00515	0.00852	0.00423	0.00271	0.00162	0.0061	0.0171	0.00678	0.0101	0.00922	0.018	0.00723	0.0175	0.00969	0.00715	0.00236	0.00741	0.00801	0.00863	0.0092	0.00247	0.0123	0.00364	0.00927	0.00546	0.00776	0.00604	0	0.0184	0.00572	0.00612
Verrucomicrobiaceae	0.00578	0.00343	0.00426	0.0148	0.00271	0.00648	0.0061	0.00156	0	0.00507	0.00307	0	0.00361	0	0	0.00238	0	0.0148	0.002	0.00288	0	0	0.0041	0	0	0	0.00388	0.00201	0.00359	0.00307	0.00381	0
Haliangiaceae	0.0366	0.0394	0.0298	0.0783	0.0569	0.0243	0.032	0.0156	0.0458	0.0862	0.0292	0.026	0.0181	0.064	0.031	0.0238	0.0165	0.0124	0.00601	0.00863	0.00736	0.0173	0.0246	0.00546	0.0371	0.0182	0.0155	0.0161	0.0216	0.0153	0.00953	0.0153
Clostridiales_Incertae_Sedis_XI	0	0.012	0.00426	0.0127	0.00271	0.00486	0.00153	0.00467	0.00339	0.00338	0.00769	0	0.00181	0	0.0252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Syntrophaceae	0.00385	0.00343	0	0.00423	0	0.00162	0	0	0	0.00169	0.00154	0.00399	0	0.00291	0.00194	0	0	0	0	0	0.00184	0	0.00205	0	0	0	0.00194	0	0.00359	0	0	0
Gallionellaceae	3.13	0.729	0.773	1.1	0.723	1.03	1.11	1.21	0.88	1.37	1.37	1.57	0.799	1.4	0.758	0.753	1.53	2.7	1.96	2.17	1.2	1.01	1.73	1.75	1.36	1.32	1.42	1.38	1.67	1.18	2.18	2.35
Peptostreptococcaceae	0.0501	0.0515	0.017	0.0741	0.065	0.0292	0.0183	0.014	0.0882	0.0879	0.0538	0.0639	0.0488	0.0728	0.0213	0.806	0.297	0.42	0.184	0.296	1	0.355	0.332	0.351	0.491	0.484	0.943	0.256	0.313	0.448	0.0744	0.144
Conexibacteraceae	0.0116	0.00858	0.00852	0.00846	0	0.0081	0.00915	0.0109	0.0153	0.0135	0.00461	0.00799	0.00361	0.00873	0.00969	0.00238	0.00707	0.00988	0.00601	0.00863	0.0092	0.0074	0.00614	0.00728	0.00927	0.00364	0.0097	0.0161	0.00359	0.00613	0.00953	0.00612
Thermomonosporaceae	6.49	0.924	1.04	2.38	1.08	3.26	1.61	1.19	1.29	2.41	2.3	1.02	1.68	1.76	1.23	7.19	4.77	3.88	8.85	6.81	3.44	9.32	2.06	3.2	5.6	3.22	1.17	8.81	4.3	6.96	3.06	3.1
Acidimicrobiaceae	0.102	0.18	0.16	0.205	0.233	0.0826	0.143	0.156	0.226	0.0963	0.166	0.262	0.141	0.102	0.223	0.0977	0.177	0.133	0.188	0.15	0.166	0.146	0.377	0.135	0.278	0.133	0.27	0.187	0.23	0.156	0.143	0.0796
Burkholderiaceae	0.0636	0.0875	0.187	0.0741	0.122	0.104	0.107	0.107	0.102	0.122	0.125	0.118	0.141	0.0873	0.159	0.081	0.13	0.0964	0.104	0.092	0.0939	0.0765	0.184	0.129	0.109	0.106	0.149	0.0866	0.133	0.0889	0.0629	0.0765
Nannocystaceae	0	0.00858	0.00852	0.0148	0.00542	0	0.00153	0.00312	0	0.00507	0.00615	0.002	0	0	0.00194	0.0167	0.0165	0.0148	0.028	0.0173	0.0202	0.0173	0.0471	0.0182	0.0394	0.02	0.0194	0.0201	0.0503	0.0153	0.0553	0.0306
Gemmatimonadaceae	0.00193	0.0755	0.0554	0.0508	0.0786	0.0178	0.0214	0.0374	0.0678	0.0152	0.043	0.0819	0.0199	0.0175	0.033	0.0167	0.0118	0.0148	0.002	0.00575	0.035	0	0.0328	0.0091	0.0742	0.0255	0.0213	0.0101	0.0431	0.0092	0.00763	0.0122
Rhodothermaceae	0.00578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0.00184	0.00247	0.00614	0	0	0	0.00388	0	0.00359	0	0.00191	0
Myxococcaceae	0.0443	0.0223	0.00852	0.0275	0.0352	0.0211	0.0168	0.0156	0.0339	0.0355	0.00922	0.00399	0.00904	0.00291	0.0136	0.0238	0.00942	0.0321	0.022	0.0546	0.0129	0.0321	0.0266	0.02	0.0464	0.0219	0.0175	0.0342	0.018	0.0797	0.0229	0.0122
Sphingobacteriaceae	0	0.00343	0	0.00846	0.00542	0	0.00153	0.00312	0	0.00169	0.00307	0.002	0.00181	0.00291	0.00388	0.00238	0.0118	0.0148	0.004	0	0.0276	0	0.0184	0.00728	0.00232	0.00911	0.00194	0.00805	0.0323	0.0123	0.0114	0.00306
Veillonellaceae	0.0289	0.024	0.0873	0.0656	0.019	0.133	0.0381	0.156	0.0967	0.0389	0.0338	0.0799	0.0542	0.154	0.00582	0.00238	0.00471	0.00741	0.018	0.00288	0.0129	0.0074	0.0389	0.00182	0.0185	0.00546	0.0116	0.0121	0.0323	0.00613	0.0114	0.00918
Pseudonocardiaceae	0.0154	0.0274	0.0213	0.0169	0.0163	0.0113	0.14	0.00467	0.00848	0.0439	0.0815	0.0419	0.0578	0.0466	0.0116	0.00477	0.00942	0.0148	0.018	0.00288	0.0129	0.0197	0.0102	0.0255	0.0139	0.00182	0.0175	0.0141	0.018	0	0.0305	0.00612
